MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"CB6.4",65146,"BAY102","TWQM","MAIN","VADEQ","ODU","CB6.4",7/11/1989,13:26:00,10,5.00,6.00,1,"S ","D","S1","CHLA",,11.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65146,"BAY102","TWQM","MAIN","VADEQ","ODU","CB6.4",7/11/1989,13:26:00,10,5.00,6.00,4,"AP","D","S1","CHLA",,9.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65146,"BAY102","TWQM","MAIN","VADEQ","ODU","CB6.4",7/11/1989,13:26:00,10,5.00,6.00,7,"BP","D","S1","CHLA",,1.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65146,"BAY102","TWQM","MAIN","VADEQ","ODU","CB6.4",7/11/1989,13:26:00,10,5.00,6.00,9,"B ","D","S1","CHLA",,1.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65341,"BAY103","TWQM","MAIN","VADEQ","ODU","CB6.4",7/24/1989,12:39:00,9,3.00,4.00,1,"S ","D","S1","CHLA",,9.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65341,"BAY103","TWQM","MAIN","VADEQ","ODU","CB6.4",7/24/1989,12:39:00,9,3.00,4.00,2,"AP","D","S1","CHLA",,13.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65341,"BAY103","TWQM","MAIN","VADEQ","ODU","CB6.4",7/24/1989,12:39:00,9,3.00,4.00,5,"BP","D","S1","CHLA",,5.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65341,"BAY103","TWQM","MAIN","VADEQ","ODU","CB6.4",7/24/1989,12:39:00,9,3.00,4.00,8,"B ","D","S1","CHLA",,3.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65642,"BAY104","TWQM","MAIN","VADEQ","ODU","CB6.4",8/15/1989,13:34:00,11,6.00,7.00,1,"S ","D","S1","CHLA",,22.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65642,"BAY104","TWQM","MAIN","VADEQ","ODU","CB6.4",8/15/1989,13:34:00,11,6.00,7.00,5,"AP","D","S1","CHLA",,4.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65642,"BAY104","TWQM","MAIN","VADEQ","ODU","CB6.4",8/15/1989,13:34:00,11,6.00,7.00,8,"BP","D","S1","CHLA",,0.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",65642,"BAY104","TWQM","MAIN","VADEQ","ODU","CB6.4",8/15/1989,13:34:00,11,6.00,7.00,10,"B ","D","S1","CHLA",,1.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57405,"BAY105","TWQM","MAIN","VADEQ","ODU","CB6.4",8/29/1989,08:20:00,11.5,3.00,5.00,1,"S ","D","S1","CHLA",,13.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57405,"BAY105","TWQM","MAIN","VADEQ","ODU","CB6.4",8/29/1989,08:20:00,11.5,3.00,5.00,2,"AP","D","S1","CHLA",,12.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57405,"BAY105","TWQM","MAIN","VADEQ","ODU","CB6.4",8/29/1989,08:20:00,11.5,3.00,5.00,6,"BP","D","S1","CHLA",,1.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57405,"BAY105","TWQM","MAIN","VADEQ","ODU","CB6.4",8/29/1989,08:20:00,11.5,3.00,5.00,10.5,"B ","D","S1","CHLA",,1.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57585,"BAY106","TWQM","MAIN","VADEQ","ODU","CB6.4",9/11/1989,13:42:00,10,4.00,5.00,1,"S ","D","S1","CHLA",,7.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57585,"BAY106","TWQM","MAIN","VADEQ","ODU","CB6.4",9/11/1989,13:42:00,10,4.00,5.00,3,"AP","D","S1","CHLA",,7.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57585,"BAY106","TWQM","MAIN","VADEQ","ODU","CB6.4",9/11/1989,13:42:00,10,4.00,5.00,6,"BP","D","S1","CHLA",,2.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57585,"BAY106","TWQM","MAIN","VADEQ","ODU","CB6.4",9/11/1989,13:42:00,10,4.00,5.00,9,"B ","D","S1","CHLA",,3.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57843,"BAY107","TWQM","MAIN","VADEQ","ODU","CB6.4",9/28/1989,12:42:00,11,,,1,"S ","D","S1","CHLA",,6.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57843,"BAY107","TWQM","MAIN","VADEQ","ODU","CB6.4",9/28/1989,12:42:00,11,,,3,"AP","D","S1","CHLA",,4.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57843,"BAY107","TWQM","MAIN","VADEQ","ODU","CB6.4",9/28/1989,12:42:00,11,,,7,"BP","D","S1","CHLA",,4.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57843,"BAY107","TWQM","MAIN","VADEQ","ODU","CB6.4",9/28/1989,12:42:00,11,,,10,"B ","D","S1","CHLA",,2.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57992,"BAY108","TWQM","MAIN","VADEQ","ODU","CB6.4",10/10/1989,13:00:00,9.5,3.00,8.00,1,"S ","D","S1","CHLA",,5.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57992,"BAY108","TWQM","MAIN","VADEQ","ODU","CB6.4",10/10/1989,13:00:00,9.5,3.00,8.00,2,"AP","D","S1","CHLA",,8.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57992,"BAY108","TWQM","MAIN","VADEQ","ODU","CB6.4",10/10/1989,13:00:00,9.5,3.00,8.00,8.5,"B ","D","S1","CHLA",,2.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58482,"BAY110","TWQM","MAIN","VADEQ","ODU","CB6.4",11/13/1989,13:35:00,10.5,,,1,"S ","D","S1","CHLA",,9.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",57992,"BAY108","TWQM","MAIN","VADEQ","ODU","CB6.4",10/10/1989,13:00:00,9.5,3.00,8.00,8.5,"BP","D","S1","CHLA",,2.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58482,"BAY110","TWQM","MAIN","VADEQ","ODU","CB6.4",11/13/1989,13:35:00,10.5,,,3,"AP","D","S1","CHLA",,8.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58482,"BAY110","TWQM","MAIN","VADEQ","ODU","CB6.4",11/13/1989,13:35:00,10.5,,,6,"BP","D","S1","CHLA",,7.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58482,"BAY110","TWQM","MAIN","VADEQ","ODU","CB6.4",11/13/1989,13:35:00,10.5,,,9.5,"B ","D","S1","CHLA",,7.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58810,"BAY111","TWQM","MAIN","VADEQ","ODU","CB6.4",12/14/1989,12:51:00,11.5,8.00,,1,"S ","D","S1","CHLA",,5.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58810,"BAY111","TWQM","MAIN","VADEQ","ODU","CB6.4",12/14/1989,12:51:00,11.5,8.00,,7,"AP","D","S1","CHLA",,11.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58810,"BAY111","TWQM","MAIN","VADEQ","ODU","CB6.4",12/14/1989,12:51:00,11.5,8.00,,9,"BP","D","S1","CHLA",,13.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58810,"BAY111","TWQM","MAIN","VADEQ","ODU","CB6.4",12/14/1989,12:51:00,11.5,8.00,,10.5,"B ","D","S1","CHLA",,13.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58969,"BAY112","TWQM","MAIN","VADEQ","ODU","CB6.4",1/9/1990,14:38:00,10,5.00,6.00,1,"S ","D","S1","CHLA",,8.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58969,"BAY112","TWQM","MAIN","VADEQ","ODU","CB6.4",1/9/1990,14:38:00,10,5.00,6.00,4,"AP","D","S1","CHLA",,13.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58969,"BAY112","TWQM","MAIN","VADEQ","ODU","CB6.4",1/9/1990,14:38:00,10,5.00,6.00,7,"BP","D","S1","CHLA",,19.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",58969,"BAY112","TWQM","MAIN","VADEQ","ODU","CB6.4",1/9/1990,14:38:00,10,5.00,6.00,9,"B ","D","S1","CHLA",,17.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59250,"BAY113","TWQM","MAIN","VADEQ","ODU","CB6.4",2/6/1990,13:10:00,11.5,5.00,8.00,1,"S ","D","S1","CHLA",,12.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59250,"BAY113","TWQM","MAIN","VADEQ","ODU","CB6.4",2/6/1990,13:10:00,11.5,5.00,8.00,4,"AP","D","S1","CHLA",,12.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59250,"BAY113","TWQM","MAIN","VADEQ","ODU","CB6.4",2/6/1990,13:10:00,11.5,5.00,8.00,9,"BP","D","S1","CHLA",,10.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59250,"BAY113","TWQM","MAIN","VADEQ","ODU","CB6.4",2/6/1990,13:10:00,11.5,5.00,8.00,10.5,"B ","D","S1","CHLA",,9.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59466,"BAY114","TWQM","MAIN","VADEQ","ODU","CB6.4",3/5/1990,13:00:00,9.5,3.00,8.00,1,"S ","D","S1","CHLA",,17.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59466,"BAY114","TWQM","MAIN","VADEQ","ODU","CB6.4",3/5/1990,13:00:00,9.5,3.00,8.00,2,"AP","D","S1","CHLA",,19.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59466,"BAY114","TWQM","MAIN","VADEQ","ODU","CB6.4",3/5/1990,13:00:00,9.5,3.00,8.00,8.5,"B ","D","S1","CHLA",,16.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",59466,"BAY114","TWQM","MAIN","VADEQ","ODU","CB6.4",3/5/1990,13:00:00,9.5,3.00,8.00,8.5,"BP","D","S1","CHLA",,18.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",70219,"BAY116","TWQM","MAIN","VADEQ","ODU","CB6.4",4/9/1990,13:46:00,10.5,8.00,8.50,7,"AP","D","S1","CHLA",,40.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",70219,"BAY116","TWQM","MAIN","VADEQ","ODU","CB6.4",4/9/1990,13:46:00,10.5,8.00,8.50,9.5,"B ","D","S1","CHLA",,31.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",70219,"BAY116","TWQM","MAIN","VADEQ","ODU","CB6.4",4/9/1990,13:46:00,10.5,8.00,8.50,9.5,"BP","D","S1","CHLA",,35.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",70219,"BAY116","TWQM","MAIN","VADEQ","ODU","CB6.4",4/9/1990,13:46:00,10.5,8.00,8.50,1,"S ","D","S1","CHLA",,30.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",70315,"BAY117","TWQM","MAIN","VADEQ","ODU","CB6.4",4/16/1990,13:31:00,10.5,3.00,4.00,1,"S ","D","S1","CHLA",,40.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",70315,"BAY117","TWQM","MAIN","VADEQ","ODU","CB6.4",4/16/1990,13:31:00,10.5,3.00,4.00,2,"AP","D","S1","CHLA",,40.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",53546,"BAY132","TWQM","MAIN","VADEQ","ODU","CB6.4",1/14/1991,14:00:00,10,4.00,8.00,9,"BP","D","S1","CHLA",,10.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",94686,"BAY078","TWQM","MAIN","VADEQ","ODU","CB6.4",5/10/1988,11:35:00,10.5,2.00,4.00,1,"S ","D","S1","CHLA",,5.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",94686,"BAY078","TWQM","MAIN","VADEQ","ODU","CB6.4",5/10/1988,11:35:00,10.5,2.00,4.00,1,"AP","D","S1","CHLA",,6.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",94686,"BAY078","TWQM","MAIN","VADEQ","ODU","CB6.4",5/10/1988,11:35:00,10.5,2.00,4.00,5,"BP","D","S1","CHLA",,3.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",94686,"BAY078","TWQM","MAIN","VADEQ","ODU","CB6.4",5/10/1988,11:35:00,10.5,2.00,4.00,9.5,"B ","D","S1","CHLA",,3.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95006,"BAY079","TWQM","MAIN","VADEQ","ODU","CB6.4",5/24/1988,15:35:00,11,7.00,8.00,1,"S ","D","S1","CHLA",,3.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95006,"BAY079","TWQM","MAIN","VADEQ","ODU","CB6.4",5/24/1988,15:35:00,11,7.00,8.00,6,"AP","D","S1","CHLA",,3.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95006,"BAY079","TWQM","MAIN","VADEQ","ODU","CB6.4",5/24/1988,15:35:00,11,7.00,8.00,9,"BP","D","S1","CHLA",,1.40000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95006,"BAY079","TWQM","MAIN","VADEQ","ODU","CB6.4",5/24/1988,15:35:00,11,7.00,8.00,10,"B ","D","S1","CHLA",,0.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95180,"BAY080","TWQM","MAIN","VADEQ","ODU","CB6.4",6/7/1988,14:48:00,11,4.00,7.00,1,"S ","D","S1","CHLA",,17.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95180,"BAY080","TWQM","MAIN","VADEQ","ODU","CB6.4",6/7/1988,14:48:00,11,4.00,7.00,3,"AP","D","S1","CHLA",,17.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95180,"BAY080","TWQM","MAIN","VADEQ","ODU","CB6.4",6/7/1988,14:48:00,11,4.00,7.00,8,"BP","D","S1","CHLA",,1.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95180,"BAY080","TWQM","MAIN","VADEQ","ODU","CB6.4",6/7/1988,14:48:00,11,4.00,7.00,10,"B ","D","S1","CHLA",,4.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95330,"BAY081","TWQM","MAIN","VADEQ","ODU","CB6.4",6/20/1988,13:25:00,10.5,3.00,5.00,1,"S ","D","S1","CHLA",,4.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95330,"BAY081","TWQM","MAIN","VADEQ","ODU","CB6.4",6/20/1988,13:25:00,10.5,3.00,5.00,2,"AP","D","S1","CHLA",,7.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95330,"BAY081","TWQM","MAIN","VADEQ","ODU","CB6.4",6/20/1988,13:25:00,10.5,3.00,5.00,6,"BP","D","S1","CHLA",,4.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95330,"BAY081","TWQM","MAIN","VADEQ","ODU","CB6.4",6/20/1988,13:25:00,10.5,3.00,5.00,9.5,"B ","D","S1","CHLA",,2.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95553,"BAY082","TWQM","MAIN","VADEQ","ODU","CB6.4",7/6/1988,15:25:00,10,4.00,6.00,1,"S ","D","S1","CHLA",,5.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",95553,"BAY082","TWQM","MAIN","VADEQ","ODU","CB6.4",7/6/1988,15:25:00,10,4.00,6.00,3,"AP","D","S1","CHLA",,9.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88383,"BAY088","TWQM","MAIN","VADEQ","ODU","CB6.4",10/3/1988,13:00:00,10,4.00,6.00,9,"B ","D","S1","CHLA",,1.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88383,"BAY088","TWQM","MAIN","VADEQ","ODU","CB6.4",10/3/1988,13:00:00,10,4.00,6.00,7,"BP","D","S1","CHLA",,1.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88383,"BAY088","TWQM","MAIN","VADEQ","ODU","CB6.4",10/3/1988,13:00:00,10,4.00,6.00,1,"S ","D","S1","CHLA",,10.40000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88383,"BAY088","TWQM","MAIN","VADEQ","ODU","CB6.4",10/3/1988,13:00:00,10,4.00,6.00,3,"AP","D","S1","CHLA",,6.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88664,"BAY089","TWQM","MAIN","VADEQ","ODU","CB6.4",10/24/1988,13:24:00,11,,,1,"S ","D","S1","CHLA",,4.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88664,"BAY089","TWQM","MAIN","VADEQ","ODU","CB6.4",10/24/1988,13:24:00,11,,,3,"AP","D","S1","CHLA",,4.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88664,"BAY089","TWQM","MAIN","VADEQ","ODU","CB6.4",10/24/1988,13:24:00,11,,,6,"BP","D","S1","CHLA",,2.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88664,"BAY089","TWQM","MAIN","VADEQ","ODU","CB6.4",10/24/1988,13:24:00,11,,,10,"B ","D","S1","CHLA",,3.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88777,"BAY090","TWQM","MAIN","VADEQ","ODU","CB6.4",11/7/1988,13:19:00,11,,,1,"S ","D","S1","CHLA",,4.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88777,"BAY090","TWQM","MAIN","VADEQ","ODU","CB6.4",11/7/1988,13:19:00,11,,,3,"AP","D","S1","CHLA",,4.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88777,"BAY090","TWQM","MAIN","VADEQ","ODU","CB6.4",11/7/1988,13:19:00,11,,,7,"BP","D","S1","CHLA",,4.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",88777,"BAY090","TWQM","MAIN","VADEQ","ODU","CB6.4",11/7/1988,13:19:00,11,,,10,"B ","D","S1","CHLA",,3.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89083,"BAY091","TWQM","MAIN","VADEQ","ODU","CB6.4",12/5/1988,13:45:00,11,,,3,"AP","D","S1","CHLA",,2.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89083,"BAY091","TWQM","MAIN","VADEQ","ODU","CB6.4",12/5/1988,13:45:00,11,,,1,"S ","D","S1","CHLA",,3.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89083,"BAY091","TWQM","MAIN","VADEQ","ODU","CB6.4",12/5/1988,13:45:00,11,,,7,"BP","D","S1","CHLA",,2.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89083,"BAY091","TWQM","MAIN","VADEQ","ODU","CB6.4",12/5/1988,13:45:00,11,,,10,"B ","D","S1","CHLA",,1.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89421,"BAY092","TWQM","MAIN","VADEQ","ODU","CB6.4",1/16/1989,14:06:00,11,,,1,"S ","D","S1","CHLA",,7.80000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89421,"BAY092","TWQM","MAIN","VADEQ","ODU","CB6.4",1/16/1989,14:06:00,11,,,3,"AP","D","S1","CHLA",,7.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89421,"BAY092","TWQM","MAIN","VADEQ","ODU","CB6.4",1/16/1989,14:06:00,11,,,10,"B ","D","S1","CHLA",,8.20000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89421,"BAY092","TWQM","MAIN","VADEQ","ODU","CB6.4",1/16/1989,14:06:00,11,,,7,"BP","D","S1","CHLA",,7.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89704,"BAY093","TWQM","MAIN","VADEQ","ODU","CB6.4",2/13/1989,11:46:00,11,,,1,"S ","D","S1","CHLA",,3.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89704,"BAY093","TWQM","MAIN","VADEQ","ODU","CB6.4",2/13/1989,11:46:00,11,,,7,"BP","D","S1","CHLA",,2.90000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89704,"BAY093","TWQM","MAIN","VADEQ","ODU","CB6.4",2/13/1989,11:46:00,11,,,3,"AP","D","S1","CHLA",,2.70000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",89704,"BAY093","TWQM","MAIN","VADEQ","ODU","CB6.4",2/13/1989,11:46:00,11,,,10,"B ","D","S1","CHLA",,3.60000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",90099,"BAY094","TWQM","MAIN","VADEQ","ODU","CB6.4",3/13/1989,13:26:00,11,,,1,"S ","D","S1","CHLA",,3.40000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",90099,"BAY094","TWQM","MAIN","VADEQ","ODU","CB6.4",3/13/1989,13:26:00,11,,,3,"AP","D","S1","CHLA",,2.10000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",90099,"BAY094","TWQM","MAIN","VADEQ","ODU","CB6.4",3/13/1989,13:26:00,11,,,7,"BP","D","S1","CHLA",,3.30000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",90099,"BAY094","TWQM","MAIN","VADEQ","ODU","CB6.4",3/13/1989,13:26:00,11,,,10,"B ","D","S1","CHLA",,3.50000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
"CB6.4",90408,"BAY096","TWQM","MAIN","VADEQ","ODU","CB6.4",4/3/1989,11:29:00,11.5,5.00,9.00,1,"S ","D","S1","CHLA",,5.00000,"UG/L","L01 ","AMRL",,,,,37.23653,-76.20799,"T3"
