SampleDate,CHLA,SALINITY,TN,TP,WTEMP,DO,Station
1986-10-08,1.6,24.6,0.567,0.038,22.7,6.2,CB6.4
1986-10-28,16.7,21.5,0.34375,0.02,17.6,5.0,CB6.4
1986-12-08,2.8,23.0,0.508,0.025,9.6,8.7,CB6.4
1987-01-07,16.5,22.6,0.467,0.039,5.9,10.1,CB6.4
1987-02-25,14.4,20.2,0.609,0.028,3.3,11.9,CB6.4
1987-03-15,13.8,19.4,0.477,0.011,5.0,11.3,CB6.4
1987-03-23,17.9,19.1,0.561,0.019,6.8,11.0,CB6.4
1987-04-06,35.7,19.6,0.5237499999999999,0.017,8.4,10.5,CB6.4
1987-04-22,55.4,18.3,0.64375,0.025,14.3,9.1,CB6.4
1987-05-06,58.5,15.8,0.618,0.038,16.2,9.5,CB6.4
1987-05-18,33.6,17.9,0.9137500000000001,0.028,20.0,7.4,CB6.4
1987-06-01,17.6,17.98,0.5237499999999999,0.023,21.5,6.8,CB6.4
1987-06-15,5.2,22.3,0.46375,0.016,22.8,4.4,CB6.4
1987-07-20,10.8,20.4,0.54375,0.029,27.7,2.6,CB6.4
1987-08-03,16.2,23.6,0.5237499999999999,0.045,28.2,3.1,CB6.4
1987-08-17,11.7,24.5,0.58375,0.054,27.6,4.2,CB6.4
1987-09-03,9.0,22.3,0.56375,0.023,25.8,5.0,CB6.4
1987-09-14,2.1,21.7,0.393,0.02,25.7,4.7,CB6.4
1987-10-05,2.2,23.2,0.4166666666666667,0.043,19.6,7.4,CB6.4
1987-10-23,5.0,23.8,0.57375,0.025,15.5,8.1,CB6.4
1988-01-12,7.5,22.5,0.3178,0.009000000000000001,2.7,10.7,CB6.4
1988-02-22,23.2,21.2,0.6639,0.0188,4.4,11.7,CB6.4
1988-03-22,1.9,19.5,0.4535,0.01125,6.9,10.6,CB6.4
1988-04-11,3.2,19.4,0.409,0.0162,12.2,7.9,CB6.4
1988-05-10,5.7,19.9,0.261,0.01325,15.7,8.4,CB6.4
1988-05-24,3.2,16.8,0.321,0.009000000000000001,21.4,3.3,CB6.4
1988-06-07,17.0,16.7,0.324,0.0175,22.0,5.3,CB6.4
1988-06-20,4.9,17.5,0.27149999999999996,0.0271,23.9,3.9,CB6.4
1988-07-06,5.1,20.4,0.274,0.025,24.8,5.3,CB6.4
1988-07-18,5.5,18.5,0.25,0.028,27.6,3.1,CB6.4
1988-08-23,11.5,20.5,0.429,0.0328,26.9,3.3,CB6.4
1988-09-09,4.7,22.8,0.205,0.0328,22.8,6.0,CB6.4
1988-09-19,4.9,19.4,0.346,0.0336,23.3,4.3,CB6.4
1988-10-03,10.4,23.0,0.339,0.028,22.3,4.9,CB6.4
1988-10-24,4.0,25.1,0.305,0.027,15.0,7.7,CB6.4
1988-11-07,4.9,25.5,0.2515,0.027,13.1,8.4,CB6.4
1988-12-05,3.7,24.2,0.354,0.035,9.4,8.6,CB6.4
1989-01-16,7.8,21.0,0.338,0.019,5.2,11.1,CB6.4
1989-02-13,3.6,21.5,0.303,0.023,4.8,10.8,CB6.4
1989-03-13,3.4,22.2,0.3575,0.022,4.2,11.0,CB6.4
1989-04-03,5.0,22.2,0.394,0.01175,9.5,10.1,CB6.4
1989-04-17,3.4,20.6,0.2835,0.016,12.9,8.2,CB6.4
1989-05-03,3.6,18.6,0.447,0.01325,16.9,7.9,CB6.4
1989-05-18,3.1,19.1,0.47,0.016,16.8,7.0,CB6.4
1989-06-12,4.5,17.6,0.367,0.025,23.8,4.2,CB6.4
1989-06-27,7.2,16.8,0.399,0.029,27.0,3.3,CB6.4
1989-07-11,11.5,14.4,0.593,0.039,27.9,2.8,CB6.4
1989-07-24,9.6,14.9,0.616,0.041,27.7,3.1,CB6.4
1989-08-15,22.6,14.7,0.434,0.062,25.4,2.4,CB6.4
1989-08-29,13.3,18.3,0.478,0.042,25.5,3.1,CB6.4
1989-09-11,7.3,16.7,0.419,0.031,25.5,1.8,CB6.4
1989-09-28,6.2,21.3,0.448,0.047,22.0,6.4,CB6.4
1989-11-13,9.1,20.6,0.401,0.029,15.7,7.9,CB6.4
1989-12-14,5.7,19.1,0.501,0.034,5.1,9.9,CB6.4
1990-01-09,8.8,18.1,0.37,0.023,2.0,11.4,CB6.4
1990-02-06,12.2,20.1,0.357,0.024,6.2,9.9,CB6.4
1990-03-05,17.1,15.6,0.358,0.021,7.0,9.7,CB6.4
1990-05-31,7.1,16.8,0.365,0.02,19.0,7.0,CB6.4
1990-07-17,11.5,17.9,0.41,0.035,26.9,4.3,CB6.4
1990-08-14,9.9,17.6,0.413,0.03,27.1,4.0,CB6.4
1990-08-28,8.2,16.9,0.369,0.032,27.2,1.8,CB6.4
1990-09-11,8.5,18.7,0.38,0.035,25.7,5.3,CB6.4
1990-09-24,5.9,21.3,0.389,0.041,21.9,6.4,CB6.4
1990-10-15,3.6,21.8,0.361,0.026250000000000002,23.1,6.0,CB6.4
1990-11-16,10.7,21.3,0.355,0.017,13.2,8.4,CB6.4
1991-01-14,12.7,16.2,0.471,0.017,6.4,8.9,CB6.4
1991-02-13,11.5,16.7,0.49,0.015,6.2,10.0,CB6.4
1991-03-13,4.2,18.2,0.488,0.017,7.3,9.5,CB6.4
1991-04-23,3.9,15.9,0.566,0.016,13.7,7.9,CB6.4
1991-05-08,3.2,16.3,0.534,0.01125,19.3,6.5,CB6.4
1991-06-06,13.4,17.3,0.515,0.028,24.0,7.3,CB6.4
1991-06-18,6.5,20.8,0.303,0.027,25.0,4.9,CB6.4
1991-07-11,7.0,20.5,0.318,0.029,26.7,3.5,CB6.4
1991-07-23,7.6,21.4,0.4,0.021,29.4,2.7,CB6.4
1991-08-06,4.5,20.0,0.394,0.029,27.6,3.1,CB6.4
1991-08-21,0.5,22.1,0.425,0.045,26.1,4.4,CB6.4
1991-09-04,0.7,22.3,0.487,0.033,25.1,7.0,CB6.4
1991-10-21,7.0,24.4,0.322,0.03,16.8,7.5,CB6.4
1991-12-06,3.3,25.0,0.263,0.028,9.7,8.4,CB6.4
1992-01-22,4.2,23.4,0.336,0.025,5.1,10.3,CB6.4
1992-02-11,1.9,22.4,0.222,0.012750000000000001,3.8,11.0,CB6.4
1992-03-10,2.8,23.1,0.307,0.009000000000000001,8.6,9.6,CB6.4
1992-04-14,5.4,21.5,0.36,0.015,10.9,9.5,CB6.4
1992-04-27,2.9,20.3,0.369,0.03425,14.5,7.4,CB6.4
1992-05-11,5.4,18.0,0.479,0.02,15.9,7.0,CB6.4
1992-05-27,19.4,18.8,0.4,0.02,17.8,6.0,CB6.4
1992-06-08,5.2,18.6,0.278,0.018,22.6,6.4,CB6.4
1992-07-06,10.7,21.5,0.499,0.045,24.3,5.2,CB6.4
1992-08-10,9.1,21.2,0.437,0.03,26.2,4.3,CB6.4
1992-08-24,4.9,18.8,0.425,0.04,25.2,1.5,CB6.4
1992-09-08,7.5,20.7,0.429,0.031,25.1,3.8,CB6.4
1992-09-21,3.3,23.0,0.367,0.033,24.2,4.6,CB6.4
1992-11-17,5.9,23.0,0.274,0.025,11.8,7.6,CB6.4
1992-12-16,2.6,20.2,0.394,0.026,7.1,9.7,CB6.4
1993-01-06,6.4,18.2,0.358,0.025,6.6,13.3,CB6.4
1993-03-12,18.5,18.5,0.505,0.017,5.2,10.2,CB6.4
1993-04-14,26.6,14.5,0.744,0.01675,10.7,9.4,CB6.4
1993-04-29,11.0,15.7,0.691,0.027,12.1,7.5,CB6.4
1993-05-10,5.7,13.2,0.567,0.018,18.7,7.0,CB6.4
1993-06-29,8.5,19.6,0.356,0.055,24.4,5.0,CB6.4
1993-07-12,6.3,15.8,0.542,0.038,29.5,3.8,CB6.4
1993-07-27,11.1,21.1,0.659,0.039,25.6,4.3,CB6.4
1993-08-09,7.3,19.6,0.487,0.029,26.1,4.0,CB6.4
1993-08-23,3.8,21.0,0.46,0.026,26.3,4.4,CB6.4
1993-09-15,3.6,25.0,0.422,0.039,24.3,6.2,CB6.4
1993-09-29,5.9,23.9,0.412,0.027,22.1,5.8,CB6.4
1993-10-13,2.3,23.2,0.377,0.027,17.8,6.7,CB6.4
1993-12-06,3.0,24.3,0.386,0.025,11.1,8.2,CB6.4
1994-01-06,9.5,18.8,0.449,0.016,4.3,10.2,CB6.4
1994-02-07,5.9,20.6,0.438,0.015,2.1,11.9,CB6.4
1994-03-07,8.0,17.5,0.519,0.014,5.4,10.9,CB6.4
1994-04-05,20.4,14.1,0.615,0.021,10.2,10.8,CB6.4
1994-04-18,9.0,11.0,0.822,0.01175,14.7,9.4,CB6.4
1994-05-09,4.1,12.0,0.832,0.012750000000000001,15.6,7.2,CB6.4
1994-05-24,2.2,11.8,0.784,0.01075,18.0,6.6,CB6.4
1994-06-13,8.3,16.4,0.516,0.01975,23.5,5.0,CB6.4
1994-06-30,7.9,20.6,0.481,0.034,24.7,5.2,CB6.4
1994-07-13,9.1,18.0,0.594,0.042,26.4,3.5,CB6.4
1994-07-27,10.6,21.7,0.515,0.04,25.5,4.2,CB6.4
1994-08-29,6.9,18.8,0.432,0.032,25.4,3.2,CB6.4
1994-09-12,6.5,17.3,0.545,0.03,23.2,4.8,CB6.4
1994-09-26,4.6,19.8,0.318,0.026,22.9,3.7,CB6.4
1994-11-14,4.1,21.7,0.393,0.026,14.8,7.2,CB6.4
1995-02-14,7.3,21.4,0.411,0.04,2.7,11.3,CB6.4
1995-03-06,3.5,20.2,0.331,0.01325,5.6,10.0,CB6.4
1995-04-11,2.5,21.6,0.342,0.01575,11.6,8.9,CB6.4
1995-04-25,2.8,22.0,0.303,0.016,13.9,7.5,CB6.4
1995-05-09,2.4,20.0,0.43,0.019,16.6,7.8,CB6.4
1995-06-08,10.2,20.2,0.476,0.032,23.2,4.9,CB6.4
1995-06-19,6.5,20.7,0.499,0.039,23.5,6.2,CB6.4
1995-07-10,8.9,19.4,0.553,0.047,26.4,5.5,CB6.4
1995-07-25,8.8,20.2,0.504,0.038,29.7,1.7,CB6.4
1995-09-05,1.7,22.4,0.334,0.023,26.2,5.4,CB6.4
1995-09-21,7.5,23.6,0.315,0.027,23.8,4.8,CB6.4
1995-10-18,4.0,25.9,0.371,0.023,20.5,6.6,CB6.4
1995-11-13,2.7,26.7,0.429,0.02,13.4,8.2,CB6.4
1995-12-12,5.4,24.3,0.36,0.021,6.4,10.1,CB6.4
1996-01-23,6.7,20.6,0.445,0.022,2.0,12.3,CB6.4
1996-02-13,6.3,14.0,0.653,0.021,1.2,11.5,CB6.4
1996-06-12,7.0,16.9,0.54,0.03,22.0,6.2,CB6.4
1996-07-09,9.6,20.0,0.554,0.06,24.9,4.8,CB6.4
1996-07-24,13.4,17.2,0.462,0.036,25.6,4.0,CB6.4
1996-08-26,9.1,17.6,0.418,0.039,26.7,2.6,CB6.4
1996-09-09,13.0,18.9,0.459,0.078,25.9,5.0,CB6.4
1996-10-10,8.9,17.1,0.459,0.035,18.1,7.2,CB6.4
1996-11-20,5.9,14.4,0.41,0.02,11.1,8.7,CB6.4
1996-12-11,6.2,17.2,0.407,0.034,7.7,10.2,CB6.4
1997-01-14,18.7,15.2,0.574,0.036,5.6,9.5,CB6.4
1997-02-10,19.6,13.0,0.645,0.029,3.9,10.4,CB6.4
1997-03-04,15.7,13.8,0.554,0.02,7.6,10.2,CB6.4
1997-04-04,50.5,13.8,0.627,0.036,10.7,9.3,CB6.4
1997-05-14,0.7,16.59,0.511,0.017,16.2,7.2,CB6.4
1997-06-11,4.9,15.26,0.469,0.0165,20.0,5.4,CB6.4
1997-07-15,7.0,20.06,0.501,0.0356,27.5,3.1,CB6.4
1997-07-31,9.1,18.53,0.434,0.0332,25.9,3.0,CB6.4
1997-08-12,3.5,18.68,0.351,0.0218,26.9,4.4,CB6.4
1997-08-25,3.6,21.12,0.347,0.0357,25.9,5.7,CB6.4
1997-09-08,7.6,22.43,0.427,0.0612,24.2,5.2,CB6.4
1997-10-13,5.6,22.72,0.452,0.0325,21.5,6.2,CB6.4
1997-11-17,7.7,22.9,0.359,0.025,11.8,10.3,CB6.4
1997-12-08,2.0,21.01,0.332,0.0197,8.1,9.9,CB6.4
1998-01-12,2.0826,20.95,0.247,0.0107,7.26,10.6,CB6.4
1998-02-09,10.146,16.47,0.451,0.0233,5.65,10.7,CB6.4
1998-03-23,22.428,14.45,0.523,0.0231,7.92,9.1,CB6.4
1998-04-06,4.2987,15.43,0.461,0.0196,10.95,8.6,CB6.4
1998-06-01,6.497,14.05,0.457,0.0262,21.8,6.1,CB6.4
1998-07-06,10.2884,16.13,0.528,0.0391,25.86,2.8,CB6.4
1998-07-20,10.2528,17.45,0.508,0.0305,26.11,3.9,CB6.4
1998-08-06,7.2891,18.05,0.438,0.0361,25.32,5.5,CB6.4
1998-08-17,7.1556,19.2,0.371,0.0293,26.83,4.9,CB6.4
1998-09-01,8.01,20.27,0.398,0.0297,27.53,4.42,CB6.4
1998-10-12,4.5479,22.34,0.421,0.03,20.87,6.72,CB6.4
1998-11-16,4.6102,23.04,0.426,0.0157,13.32,9.36,CB6.4
1998-12-17,3.24405,22.42,0.314,0.0194,10.97,8.8,CB6.4
1999-01-11,4.5123,23.78,0.276,0.0242,4.46,11.28074,CB6.4
1999-02-08,2.0559,21.38398,0.274,0.0138,6.86,9.95,CB6.4
1999-03-16,3.67125,20.64,0.309,0.0187,5.22,12.08,CB6.4
1999-04-12,4.806,19.6,0.342,0.0162,12.09,11.09,CB6.4
1999-05-12,4.005,17.47,0.333,0.0135,18.44,6.2,CB6.4
1999-06-14,4.895,18.92,0.407,0.0265,23.12,5.47,CB6.4
1999-07-06,8.6775,22.41,0.471,0.0373,26.64,3.23,CB6.4
1999-07-19,6.408,21.61,0.412,0.0201,26.49,1.63,CB6.4
1999-08-03,7.00875,22.42,0.391,0.0326,28.04,6.29,CB6.4
1999-08-16,9.01125,24.1,0.351,0.0326,27.38,5.74,CB6.4
1999-09-24,7.00875,23.1,0.372,0.0299,21.19,7.46,CB6.4
1999-10-04,4.272,23.66,0.302,0.0234,21.39,7.04,CB6.4
1999-11-01,7.476,22.31,0.379,0.019,16.64,7.86,CB6.4
1999-12-13,3.204,23.18,0.248,0.0096,9.55,9.43,CB6.4
2000-02-16,3.738,21.51,0.322,0.0178,3.35,11.49,CB6.4
2000-03-14,4.1652,21.52,0.326,0.0118,8.93,10.29,CB6.4
2000-04-24,12.282,17.69,0.386,0.012,14.13,7.74,CB6.4
2000-05-26,11.214,15.7,0.521,0.0198,21.14,7.47,CB6.4
2000-06-12,7.209,18.45,0.43,0.0212,22.6,4.09,CB6.4
2000-07-14,10.146,18.68,0.5007,0.0404,25.65,2.67,CB6.4
2000-07-28,12.816,17.5,0.4558,0.0263,25.0,4.597,CB6.4
2000-08-07,10.0392,21.26,0.4215,0.037,25.87,6.54,CB6.4
2000-08-25,8.1168,17.85,0.4441,0.029,25.11,4.36,CB6.4
2000-09-14,6.6216,19.85,0.4295,0.0274,24.71,5.08,CB6.4
2000-10-10,4.0584,21.13,0.3944,0.0297,18.15,7.205,CB6.4
2000-11-13,2.9904,22.45,0.3883,0.0241,14.47,8.38,CB6.4
2000-12-14,4.5924,23.45,0.3762,0.0242,6.48,10.29,CB6.4
2001-01-08,2.2428,22.37,0.282,0.0111,2.55,11.54,CB6.4
2001-02-15,2.67,22.26,0.2659,0.0119,4.98,11.15,CB6.4
2001-03-23,2.8836,21.49,0.284,0.0144,8.15,10.59,CB6.4
2001-04-02,2.2428,21.61,0.2975,0.015,8.51,10.4,CB6.4
2001-05-10,8.01,19.16,0.4085,0.0223,17.07,7.98,CB6.4
2001-06-13,6.408,16.8,0.5958,0.035,25.17,4.66,CB6.4
2001-07-12,8.277,20.49,0.5448,0.0334,25.84,6.272,CB6.4
2001-07-23,5.5536,19.89,0.3737,0.0255,26.31,7.844,CB6.4
2001-08-13,6.5148,22.53,0.4411,0.0286,26.39,3.92,CB6.4
2001-08-29,5.7672,20.96,0.3706,0.0266,26.6,4.73,CB6.4
2001-09-10,7.6896,22.82,0.3971,0.0281,25.49,5.86,CB6.4
2001-10-15,3.4176,25.42,0.3102,0.0262,18.4,7.93,CB6.4
2001-11-14,1.9224,24.95,0.3063,0.0172,13.47,9.02,CB6.4
2002-01-16,4.272,25.26,0.2596,0.0142,5.56,11.75,CB6.4
2002-02-15,1.8156,24.52,0.265,0.014,6.79,10.6,CB6.4
2002-03-14,1.2816,24.61,0.2688,0.0119,9.61,9.986,CB6.4
2002-05-01,4.6725,23.78,0.3581,0.0196,16.89,8.66,CB6.4
2002-05-23,5.4735,23.14,0.3947,0.0273,18.1,8.39,CB6.4
2002-06-17,6.8085,18.64,0.5853,0.0294,25.77,5.616,CB6.4
2002-07-15,3.8715,21.26,0.4058,0.0217,27.56,6.08,CB6.4
2002-07-26,10.146,24.03,0.4367,0.0354,26.31,5.95,CB6.4
2002-08-14,5.34,26.41,0.3316,0.0317,26.55,7.53,CB6.4
2002-08-27,6.8085,23.72,0.3834,0.0349,27.01,5.429,CB6.4
2002-09-19,5.9808,24.94,0.367,0.0319,25.31,5.19,CB6.4
2002-10-23,4.806,25.2,0.2871,0.0144,18.68,8.01,CB6.4
2003-01-16,3.6312,19.54,0.3914,0.0106,4.3,10.6,CB6.4
2003-02-14,6.5148,17.63,0.5019,0.0125,2.01,12.53,CB6.4
2003-03-13,8.7576,15.93,0.5643,0.0106,4.88,9.8,CB6.4
2003-04-22,43.3875,14.45,0.6154,0.0169,11.95,9.82,CB6.4
2003-05-07,3.8715,14.43,0.5987,0.0156,16.11,7.24,CB6.4
2003-06-19,19.68172,15.79,0.5074,0.0319,22.69,4.47,CB6.4
2003-07-09,17.7288,13.38,0.7168,0.058,27.4,0.56,CB6.4
2003-08-04,20.826,18.64,0.5609,0.0321,26.06,3.83,CB6.4
2003-08-20,11.3475,16.39,0.4605,0.0329,26.65,5.35,CB6.4
2003-09-25,16.376,18.69,0.5436,0.0371,23.98,7.22,CB6.4
2003-10-24,11.748,18.39,0.4148,0.025,16.97,8.03,CB6.4
2003-11-18,6.5415,18.58,0.3984,0.0177,13.49,6.94,CB6.4
2003-12-17,32.307,16.43,0.402,0.0176,7.37,10.34,CB6.4
2004-01-12,20.13943,16.45,0.4809,0.0214,4.7,10.74,CB6.4
2004-03-24,5.4735,17.79,0.5211,0.0161,7.32,10.56,CB6.4
2004-04-14,10.8135,16.02,0.6308,0.0103,9.85,9.59,CB6.4
2004-05-12,5.18743,15.64,0.5592,0.0107,18.62,7.41,CB6.4
2004-06-09,13.528,16.06,0.5031,0.0266,23.17,4.436,CB6.4
2004-06-23,14.3112,17.09,0.6375,0.0383,25.03,3.64,CB6.4
2004-07-08,10.8936,19.33,0.5692,0.0332,26.02,4.8,CB6.4
2004-07-21,8.722,17.24,0.4853,0.0243,27.51,3.37,CB6.4
2004-08-12,8.544,18.94,0.4327,0.0285,25.66,4.29,CB6.4
2004-08-25,12.994,18.98,0.4547,0.0318,25.3,5.82,CB6.4
2004-09-10,16.4205,18.21,0.4589,0.0304,25.59,6.233,CB6.4
2004-09-24,6.8085,17.79,0.4117,0.0272,22.86,7.85,CB6.4
2004-10-14,8.277,16.35,0.3895,0.0243,19.5,6.41,CB6.4
2004-11-16,8.277,16.14,0.4281,0.0189,11.93,8.56,CB6.4
2004-12-10,6.942,17.96,0.4055,0.0112,11.74,8.6,CB6.4
2005-01-11,7.743,14.68,0.4386,0.0111,6.22,10.63,CB6.4
2005-02-16,9.345,15.29,0.6335,0.0144,4.35,12.15,CB6.4
2005-03-16,6.675,16.38,0.4426,0.0101,5.66,11.69,CB6.4
2005-04-11,40.228,14.41,0.5661,0.024,10.67,11.87,CB6.4
2005-05-11,16.93543,15.45,0.4427,0.0176,15.13,7.93,CB6.4
2005-06-15,6.25543,18.01,0.3753,0.018,24.64,5.52,CB6.4
2005-07-15,12.549,18.52,0.4834,0.0332,26.99,3.52,CB6.4
2005-07-27,9.79,18.91,0.491,0.0314,29.27,3.76,CB6.4
2005-08-10,9.76457,18.5,0.4112,0.0277,27.57,2.53,CB6.4
2005-08-24,5.607,19.62,0.4164,0.0281,27.19,4.38,CB6.4
2005-09-20,7.6095,21.56,0.4286,0.0266,26.37,6.31,CB6.4
2005-11-28,9.45943,22.42,0.388,0.0279,11.77,9.14,CB6.4
2005-12-16,5.874,21.48,0.4019,0.0219,7.5,10.51,CB6.4
2006-01-19,9.8256,17.87,0.505,0.0239,6.48,10.31,CB6.4
2006-03-08,11.214,17.42,0.4242,0.016,6.15,10.63,CB6.4
2006-04-06,1.958,18.91,0.3479,0.0137,12.25,9.16,CB6.4
2006-05-24,6.764,18.54,0.4341,0.0247,19.64,6.77,CB6.4
2006-06-07,6.586,22.24,0.3945,0.0222,22.28,5.77,CB6.4
2006-06-20,7.654,20.27,0.4105,0.0234,24.57,5.799,CB6.4
2006-07-12,9.79,20.47,0.4815,0.0302,24.77,4.59,CB6.4
2006-07-26,6.586,20.79,0.4086,0.0205,26.16,4.21,CB6.4
2006-08-17,7.12,22.28,0.3067,0.0256,25.99,5.39,CB6.4
2006-08-30,5.518,23.72,0.3327,0.0297,26.96,5.05,CB6.4
2006-09-19,8.188,19.83,0.436,0.0258,24.16,5.19,CB6.4
2006-11-17,7.476,20.92,0.3489,0.0218,14.26,8.23,CB6.4
2006-12-11,4.984,18.8,0.3917,0.0153,9.43,9.92,CB6.4
2007-01-11,8.277,18.6,0.3526,0.0108,8.9,10.68,CB6.4
2007-02-12,6.408,17.41,0.3678,0.0119,3.64,10.38,CB6.4
2007-03-14,8.4105,17.16,0.4163,0.0136,6.78,9.68,CB6.4
2007-04-19,12.638,18.35,0.4287,0.0201,10.53,8.78,CB6.4
2007-05-12,6.408,14.46,0.4753,0.0208,17.85,7.26,CB6.4
2007-06-07,5.874,19.02,0.3997,0.0162,22.6,5.13,CB6.4
2007-06-20,9.078,19.42,0.4046,0.0254,24.55,4.86,CB6.4
2007-07-11,8.01,20.87,0.417,0.0237,25.78,5.0,CB6.4
2007-07-26,6.408,19.44,0.4267,0.0238,25.98,4.32,CB6.4
2007-08-08,5.874,23.0,0.3149,0.0229,27.89,5.37,CB6.4
2007-08-23,10.413,21.72,0.3955,0.0296,26.36,3.83,CB6.4
2007-09-24,10.8135,21.88,0.3852,0.0242,24.3,6.45,CB6.4
2007-10-17,10.0392,24.42,0.3215,0.0236,21.66,6.99,CB6.4
2007-11-14,6.7284,24.11,0.4248,0.0166,14.23,8.07,CB6.4
2008-01-23,4.1385,22.36,0.3405,0.0173,5.6,11.48,CB6.4
2008-02-25,2.61067,21.21,0.3189,0.0148,6.24,9.34,CB6.4
2008-04-24,7.35733,15.21,0.4742,0.0127,15.7,9.11,CB6.4
2008-05-15,5.2065,16.11,0.4298,0.0158,18.02,7.12,CB6.4
2008-06-12,5.874,14.51,0.4798,0.0193,25.33,3.82,CB6.4
2008-07-10,8.4105,22.16,0.4126,0.0383,23.92,5.42,CB6.4
2008-07-22,7.8765,19.98,0.4937,0.0292,28.85,4.51,CB6.4
2008-08-13,8.08629,18.12,0.4271,0.0294,25.44,5.88,CB6.4
2008-09-02,4.806,20.52,0.393,0.0267,25.21,5.48,CB6.4
2008-09-29,7.832,20.16,0.4276,0.0238,21.67,5.71,CB6.4
2008-10-31,8.4105,23.97,0.3601,0.0256,13.98,8.33,CB6.4
2008-11-17,4.806,23.96,0.2977,0.0168,13.13,8.58,CB6.4
2008-12-18,6.1944,23.93,0.3398,0.0126,7.77,9.95,CB6.4
2009-01-13,5.49257,23.53,0.3357,0.0158,5.96,9.83,CB6.4
2009-02-10,3.3375,21.8,0.2902,0.0116,3.83,11.26,CB6.4
2009-03-23,4.1652,18.58,0.3463,0.0056,7.7,11.04,CB6.4
2009-04-13,7.743,21.43,0.3278,0.0161,11.37,9.28,CB6.4
2009-05-14,6.408,19.08,0.3973,0.0157,18.48,7.78,CB6.4
2009-06-02,4.4055,19.61,0.3741,0.0167,23.03,5.91,CB6.4
2009-07-15,10.98514,19.69,0.4872,0.0313,26.06,6.83,CB6.4
2009-07-29,7.62857,22.05,0.3961,0.0304,26.35,4.22,CB6.4
2009-08-12,5.874,19.32,0.4054,0.0219,28.1,3.48,CB6.4
2009-08-25,9.00171,21.63,0.3607,0.0374,27.58,6.42,CB6.4
2009-09-15,8.9445,19.2,0.4151,0.0275,23.49,6.45,CB6.4
2009-10-29,4.0584,22.55,0.3427,0.0229,16.48,8.21,CB6.4
2009-11-16,10.4664,19.01,0.3974,0.0275,13.89,8.54,CB6.4
